District Name,Subgroup,2019 Count,2019 Percent Proficient,Number Proficient
Clinton Public School District,White,1072,0.785447761,842
Clinton Public School District,All Students,2971,0.605856614,1800
Clinton Public School District,Multiracial,*,*,*
Clinton Public School District,Native American/Pacific Islander,*,*,*
Coahoma County School District,Native American/Pacific Islander,0,0,0
Coahoma County School District,Hispanic,12,0.333333333,4
Coahoma County School District,White,47,0.468085106,22
Coahoma County School District,African American,671,0.248882265,167
Coahoma County School District,All Students,733,0.266030014,195
Coahoma County School District,Asian,*,*,*
Coahoma County School District,Multiracial,*,*,*
Coffeeville School District,Asian,0,0,0
Coffeeville School District,Native American/Pacific Islander,0,0,0
Coffeeville School District,Multiracial,10,0.3,3
Coffeeville School District,White,39,0.256410256,10
Coffeeville School District,African American,218,0.270642202,59
Coffeeville School District,All Students,268,0.268656716,72
Coffeeville School District,Hispanic,*,*,*
Columbia School District,Multiracial,13,0.538461538,7
Columbia School District,Hispanic,16,0.5,8
Columbia School District,African American,419,0.286396181,120
Columbia School District,White,407,0.56019656,228
Columbia School District,All Students,862,0.424593968,366
Columbia School District,Asian,*,*,*
Columbia School District,Native American/Pacific Islander,*,*,*
Columbus Municipal School District,Asian,12,0.416666667,5
Columbus Municipal School District,Multiracial,12,0.5,6
Columbus Municipal School District,Hispanic,29,0.310344828,9
Columbus Municipal School District,White,85,0.458823529,39
Columbus Municipal School District,African American,1679,0.212626563,357
Columbus Municipal School District,All Students,1818,0.228822882,416
Columbus Municipal School District,Native American/Pacific Islander,*,*,*
Copiah Co School District,Multiracial,13,0.461538462,6
Copiah Co School District,Hispanic,81,0.259259259,21
Copiah Co School District,African American,801,0.209737828,168
Copiah Co School District,White,481,0.542619543,261
Copiah Co School District,All Students,1379,0.332849891,459
Copiah Co School District,Asian,*,*,*
Copiah Co School District,Native American/Pacific Islander,*,*,*
Corinth School District,Native American/Pacific Islander,0,0,0
Corinth School District,Asian,15,0.533333333,8
Corinth School District,Multiracial,64,0.4375,28
Corinth School District,Hispanic,124,0.233870968,29
Corinth School District,African American,365,0.2,73
Corinth School District,White,736,0.578804348,426
Corinth School District,All Students,1304,0.432515337,564
Covington Co Schools,Multiracial,37,0.297297297,11
Covington Co Schools,Hispanic,69,0.333333333,23
Covington Co Schools,African American,703,0.190611664,134
Covington Co Schools,White,644,0.470496894,303
Covington Co Schools,All Students,1460,0.323972603,473
Covington Co Schools,Asian,*,*,*
Covington Co Schools,Native American/Pacific Islander,*,*,*
Desoto Co School District,Native American/Pacific Islander,36,0.611111111,22
Desoto Co School District,Asian,314,0.566878981,178
Desoto Co School District,Hispanic,1115,0.377578475,421
Desoto Co School District,Multiracial,1099,0.455868972,501
Desoto Co School District,African American,7113,0.32813159,2334
Desoto Co School District,White,8903,0.625407166,5568
Desoto Co School District,All Students,18580,0.485683531,9024
East Jasper Consolidated School District,Native American/Pacific Islander,0,0,0
East Jasper Consolidated School District,African American,448,0.323660714,145
East Jasper Consolidated School District,All Students,458,0.320960699,147
East Jasper Consolidated School District,White,*,*,*
East Jasper Consolidated School District,Hispanic,*,*,*
East Jasper Consolidated School District,Asian,*,*,*
East Jasper Consolidated School District,Multiracial,*,*,*
East Tallahatchie Consolidated School District,Native American/Pacific Islander,0,0,0
East Tallahatchie Consolidated School District,Multiracial,14,0.285714286,4
East Tallahatchie Consolidated School District,White,73,0.369863014,27
East Tallahatchie Consolidated School District,African American,496,0.157258065,78
East Tallahatchie Consolidated School District,All Students,588,0.18877551,111
East Tallahatchie Consolidated School District,Hispanic,*,*,*
East Tallahatchie Consolidated School District,Asian,*,*,*
Enterprise School District,Native American/Pacific Islander,0,0,0
Enterprise School District,African American,51,0.294117647,15
Enterprise School District,White,445,0.642696629,286
Enterprise School District,All Students,503,0.610337972,307
Enterprise School District,Hispanic,*,*,*
Enterprise School District,Asian,*,*,*
Enterprise School District,Multiracial,*,*,*
Forest Municipal School District,Multiracial,42,0.333333333,14
Forest Municipal School District,White,102,0.431372549,44
Forest Municipal School District,Hispanic,302,0.291390728,88
Forest Municipal School District,African American,418,0.21291866,89
Forest Municipal School District,All Students,869,0.273878021,238
Forest Municipal School District,Asian,*,*,*
Forest Municipal School District,Native American/Pacific Islander,*,*,*
Forrest County Ag High School,Native American/Pacific Islander,0,0,0
Forrest County Ag High School,African American,39,0.076923077,3
Forrest County Ag High School,White,94,0.531914894,50
Forrest County Ag High School,All Students,140,0.4,56
Forrest County Ag High School,Hispanic,*,*,*
Forrest County Ag High School,Asian,*,*,*
Forrest County Ag High School,Multiracial,*,*,*
Forrest County School District,Hispanic,43,0.23255814,10
Forrest County School District,Multiracial,78,0.346153846,27
Forrest County School District,African American,561,0.308377897,173
Forrest County School District,White,674,0.544510386,367
Forrest County School District,All Students,1365,0.426373626,582
Forrest County School District,Asian,*,*,*
Forrest County School District,Native American/Pacific Islander,*,*,*
Franklin Co School District,Native American/Pacific Islander,0,0,0
Franklin Co School District,African American,306,0.349673203,107
Franklin Co School District,White,348,0.603448276,210
Franklin Co School District,All Students,665,0.488721805,325
Franklin Co School District,Hispanic,*,*,*
Franklin Co School District,Asian,*,*,*
Franklin Co School District,Multiracial,*,*,*
George Co School District,Asian,11,0.818181818,9
George Co School District,Hispanic,72,0.263888889,19
George Co School District,Multiracial,53,0.377358491,20
George Co School District,African American,176,0.204545455,36
George Co School District,White,1828,0.468818381,857
George Co School District,All Students,2144,0.440298507,944
George Co School District,Native American/Pacific Islander,*,*,*
Greene County School District,Native American/Pacific Islander,0,0,0
Greene County School District,Multiracial,12,0.333333333,4
Greene County School District,African American,193,0.29015544,56
Greene County School District,White,761,0.465177398,354
Greene County School District,All Students,972,0.426954733,415
Greene County School District,Hispanic,*,*,*
Greene County School District,Asian,*,*,*
Greenville Public Schools,Native American/Pacific Islander,0,0,0
Greenville Public Schools,White,21,0.428571429,9
Greenville Public Schools,African American,2283,0.231274639,528
Greenville Public Schools,All Students,2315,0.233261339,540
Greenville Public Schools,Hispanic,*,*,*
Greenville Public Schools,Asian,*,*,*
Greenville Public Schools,Multiracial,*,*,*
Greenwood Public School District,Multiracial,0,0,0
Greenwood Public School District,Native American/Pacific Islander,0,0,0
Greenwood Public School District,Hispanic,23,0.52173913,12
Greenwood Public School District,White,63,0.285714286,18
Greenwood Public School District,African American,1324,0.21223565,281
Greenwood Public School District,All Students,1415,0.222614841,315
Greenwood Public School District,Asian,*,*,*
Grenada School District,Hispanic,10,0.4,4
Grenada School District,Multiracial,44,0.386363636,17
Grenada School District,African American,1070,0.361682243,387
Grenada School District,White,997,0.655967904,654
Grenada School District,All Students,2131,0.500703895,1067
Grenada School District,Asian,*,*,*
Grenada School District,Native American/Pacific Islander,*,*,*
Gulfport School District,Asian,38,0.684210526,26
Gulfport School District,Multiracial,104,0.567307692,59
Gulfport School District,Hispanic,240,0.445833333,107
Gulfport School District,African American,1855,0.347169811,644
Gulfport School District,White,1236,0.702265372,868
Gulfport School District,All Students,3481,0.490376329,1707
Gulfport School District,Native American/Pacific Islander,*,*,*
Hancock Co School District,Asian,21,0.619047619,13
Hancock Co School District,Hispanic,44,0.613636364,27
Hancock Co School District,Multiracial,96,0.572916667,55
Hancock Co School District,African American,184,0.445652174,82
Hancock Co School District,White,2008,0.540338645,1085
Hancock Co School District,All Students,2359,0.53666808,1266
Hancock Co School District,Native American/Pacific Islander,*,*,*
Harrison Co School District,Native American/Pacific Islander,49,0.612244898,30
Harrison Co School District,Asian,194,0.726804124,141
Harrison Co School District,Multiracial,294,0.581632653,171
Harrison Co School District,Hispanic,453,0.44812362,203
Harrison Co School District,African American,2925,0.340854701,997
Harrison Co School District,White,4212,0.616334283,2596
Harrison Co School District,All Students,8127,0.509166974,4138
Hattiesburg Public School District,Multiracial,25,0.32,8
Hattiesburg Public School District,White,51,0.529411765,27
Hattiesburg Public School District,Hispanic,108,0.314814815,34
Hattiesburg Public School District,African American,1861,0.328855454,612
Hattiesburg Public School District,All Students,2052,0.334307992,686
Hattiesburg Public School District,Asian,*,*,*
Hattiesburg Public School District,Native American/Pacific Islander,*,*,*
Hazlehurst City School District,Native American/Pacific Islander,0,0,0
Hazlehurst City School District,White,17,0.235294118,4
Hazlehurst City School District,Hispanic,76,0.184210526,14
Hazlehurst City School District,African American,686,0.199708455,137
Hazlehurst City School District,All Students,786,0.201017812,158
Hazlehurst City School District,Asian,*,*,*
Hazlehurst City School District,Multiracial,*,*,*
Hinds Co School District,Multiracial,18,0.388888889,7
Hinds Co School District,Hispanic,50,0.3,15
Hinds Co School District,White,324,0.429012346,139
Hinds Co School District,African American,2628,0.335235921,881
Hinds Co School District,All Students,3027,0.345887017,1047
Hinds Co School District,Asian,*,*,*
Hinds Co School District,Native American/Pacific Islander,*,*,*
Hollandale School District,Asian,0,0,0
Hollandale School District,Native American/Pacific Islander,0,0,0
Hollandale School District,African American,267,0.205992509,55
Hollandale School District,All Students,272,0.209558824,57
Hollandale School District,White,*,*,*
Hollandale School District,Hispanic,*,*,*
Hollandale School District,Multiracial,*,*,*
Holly Springs School District,Asian,0,0,0
Holly Springs School District,Native American/Pacific Islander,0,0,0
Holly Springs School District,Hispanic,14,0.214285714,3
Holly Springs School District,White,20,0.25,5
Holly Springs School District,African American,577,0.227036395,131
Holly Springs School District,All Students,619,0.229402262,142
Holly Springs School District,Multiracial,*,*,*
Holmes Consolidated School District,Multiracial,0,0,0
Holmes Consolidated School District,Native American/Pacific Islander,0,0,0
Holmes Consolidated School District,White,13,0.384615385,5
Holmes Consolidated School District,African American,1696,0.169221698,287
Holmes Consolidated School District,All Students,1714,0.170361727,292
Holmes Consolidated School District,Hispanic,*,*,*
Holmes Consolidated School District,Asian,*,*,*
Houston  School District,Native American/Pacific Islander,0,0,0
Houston  School District,Multiracial,21,0.714285714,15
Houston  School District,Hispanic,81,0.382716049,31
Houston  School District,African American,380,0.328947368,125
Houston  School District,White,447,0.601789709,269
Houston  School District,All Students,937,0.472785486,443
Houston  School District,Asian,*,*,*
Humphreys Co School District,Multiracial,0,0,0
Humphreys Co School District,African American,870,0.147126437,128
Humphreys Co School District,All Students,888,0.149774775,133
Humphreys Co School District,White,*,*,*
Humphreys Co School District,Hispanic,*,*,*
Humphreys Co School District,Asian,*,*,*
Humphreys Co School District,Native American/Pacific Islander,*,*,*
Itawamba Co School District,Native American/Pacific Islander,0,0,0
Itawamba Co School District,Hispanic,17,0.235294118,4
Itawamba Co School District,Multiracial,28,0.5,14
Itawamba Co School District,African American,127,0.244094488,31
Itawamba Co School District,White,1707,0.469830111,802
Itawamba Co School District,All Students,1884,0.45329087,854
Itawamba Co School District,Asian,*,*,*
Jackson Co School District,Native American/Pacific Islander,32,0.34375,11
Jackson Co School District,Multiracial,98,0.56122449,55
Jackson Co School District,Hispanic,167,0.461077844,77
Jackson Co School District,Asian,169,0.650887574,110
Jackson Co School District,African American,573,0.354275742,203
Jackson Co School District,White,4001,0.571357161,2286
Jackson Co School District,All Students,5040,0.544047619,2742
Jackson Public School District,Multiracial,63,0.396825397,25
Jackson Public School District,Hispanic,240,0.2875,69
Jackson Public School District,White,124,0.661290323,82
Jackson Public School District,African American,11655,0.262119262,3055
Jackson Public School District,All Students,12095,0.267713931,3238
Jackson Public School District,Asian,*,*,*
Jackson Public School District,Native American/Pacific Islander,*,*,*
Jefferson Co School District,Hispanic,0,0,0
Jefferson Co School District,Asian,0,0,0
Jefferson Co School District,Multiracial,0,0,0
Jefferson Co School District,Native American/Pacific Islander,0,0,0
Jefferson Co School District,African American,621,0.181964573,113
Jefferson Co School District,All Students,625,0.1856,116
Jefferson Co School District,White,*,*,*
Jefferson Davis Co School District,Asian,0,0,0
Jefferson Davis Co School District,Native American/Pacific Islander,0,0,0
Jefferson Davis Co School District,White,94,0.425531915,40
Jefferson Davis Co School District,African American,649,0.234206471,152
Jefferson Davis Co School District,All Students,756,0.264550265,200
Jefferson Davis Co School District,Hispanic,*,*,*
Jefferson Davis Co School District,Multiracial,*,*,*
Jones Co School District,Native American/Pacific Islander,41,0.243902439,10
Jones Co School District,Asian,24,0.666666667,16
Jones Co School District,Multiracial,132,0.431818182,57
Jones Co School District,Hispanic,488,0.356557377,174
Jones Co School District,African American,849,0.288574794,245
Jones Co School District,White,2979,0.529372273,1577
Jones Co School District,All Students,4513,0.460669178,2079
Kemper Co School District,Asian,0,0,0
Kemper Co School District,Native American/Pacific Islander,0,0,0
Kemper Co School District,African American,502,0.203187251,102
Kemper Co School District,All Students,515,0.203883495,105
Kemper Co School District,White,*,*,*
Kemper Co School District,Hispanic,*,*,*
Kemper Co School District,Multiracial,*,*,*
Kosciusko School District,Asian,14,0.642857143,9
Kosciusko School District,Hispanic,44,0.5,22
Kosciusko School District,African American,684,0.286549708,196
Kosciusko School District,White,466,0.575107296,268
Kosciusko School District,All Students,1214,0.408566722,496
Kosciusko School District,Multiracial,*,*,*
Kosciusko School District,Native American/Pacific Islander,*,*,*
Lafayette Co School District,Multiracial,21,0.619047619,13
Lafayette Co School District,Hispanic,38,0.421052632,16
Lafayette Co School District,African American,375,0.306666667,115
Lafayette Co School District,White,1148,0.594076655,682
Lafayette Co School District,All Students,1593,0.52165725,831
Lafayette Co School District,Asian,*,*,*
Lafayette Co School District,Native American/Pacific Islander,*,*,*
Lamar County School District,Native American/Pacific Islander,12,0.583333333,7
Lamar County School District,Asian,112,0.776785714,87
Lamar County School District,Hispanic,255,0.349019608,89
Lamar County School District,Multiracial,186,0.575268817,107
Lamar County School District,African American,1483,0.371544167,551
Lamar County School District,White,3553,0.611595835,2173
Lamar County School District,All Students,5601,0.538118193,3014
Lauderdale Co School District,Asian,43,0.534883721,23
Lauderdale Co School District,Hispanic,93,0.451612903,42
Lauderdale Co School District,African American,1039,0.270452358,281
Lauderdale Co School District,White,2269,0.546055531,1239
Lauderdale Co School District,All Students,3452,0.460312862,1589
Lauderdale Co School District,Multiracial,*,*,*
Lauderdale Co School District,Native American/Pacific Islander,*,*,*
Laurel School District,Multiracial,21,0.476190476,10
Laurel School District,White,44,0.454545455,20
Laurel School District,Hispanic,148,0.290540541,43
Laurel School District,African American,1383,0.21691974,300
Laurel School District,All Students,1604,0.235037406,377
Laurel School District,Asian,*,*,*
Laurel School District,Native American/Pacific Islander,*,*,*
Lawrence Co School District,Hispanic,13,0.307692308,4
Lawrence Co School District,Multiracial,20,0.3,6
Lawrence Co School District,African American,452,0.199115044,90
Lawrence Co School District,White,663,0.438914027,291
Lawrence Co School District,All Students,1152,0.341145833,393
Lawrence Co School District,Asian,*,*,*
Lawrence Co School District,Native American/Pacific Islander,*,*,*
Leake Co School District,Native American/Pacific Islander,17,0.352941176,6
Leake Co School District,Asian,10,0.6,6
Leake Co School District,Multiracial,39,0.41025641,16
Leake Co School District,Hispanic,195,0.338461538,66
Leake Co School District,White,338,0.443786982,150
Leake Co School District,African American,938,0.260127932,244
Leake Co School District,All Students,1537,0.317501627,488
Lee County School District,Asian,23,0.565217391,13
Lee County School District,Hispanic,91,0.428571429,39
Lee County School District,Multiracial,79,0.518987342,41
Lee County School District,African American,1098,0.207650273,228
Lee County School District,White,2415,0.499378882,1206
Lee County School District,All Students,3709,0.412240496,1529
Lee County School District,Native American/Pacific Islander,*,*,*
Leflore Co School District,Native American/Pacific Islander,0,0,0
Leflore Co School District,White,12,0.333333333,4
Leflore Co School District,Hispanic,68,0.279411765,19
Leflore Co School District,African American,1187,0.165964617,197
Leflore Co School District,All Students,1269,0.174152876,221
Leflore Co School District,Asian,*,*,*
Leflore Co School District,Multiracial,*,*,*
Leland School District,Asian,0,0,0
Leland School District,White,26,0.230769231,6
Leland School District,African American,360,0.258333333,93
Leland School District,All Students,400,0.2525,101
Leland School District,Hispanic,*,*,*
Leland School District,Multiracial,*,*,*
Leland School District,Native American/Pacific Islander,*,*,*
Lincoln Co School District,Hispanic,14,0.214285714,3
Lincoln Co School District,African American,222,0.216216216,48
Lincoln Co School District,White,1414,0.506364922,716
Lincoln Co School District,All Students,1664,0.464543269,773
Lincoln Co School District,Asian,*,*,*
Lincoln Co School District,Multiracial,*,*,*
Lincoln Co School District,Native American/Pacific Islander,*,*,*
Long Beach School District,Hispanic,49,0.428571429,21
Long Beach School District,Asian,39,0.820512821,32
Long Beach School District,Multiracial,148,0.533783784,79
Long Beach School District,African American,297,0.326599327,97
Long Beach School District,White,1193,0.639564124,763
Long Beach School District,All Students,1729,0.574320416,993
Long Beach School District,Native American/Pacific Islander,*,*,*
Louisville Municipal School District,Native American/Pacific Islander,21,0.333333333,7
Louisville Municipal School District,Hispanic,13,0.615384615,8
Louisville Municipal School District,Multiracial,41,0.341463415,14
Louisville Municipal School District,African American,981,0.281345566,276
Louisville Municipal School District,White,476,0.598739496,285
Louisville Municipal School District,All Students,1536,0.386067708,593
Louisville Municipal School District,Asian,*,*,*
Lowndes Co School District,Asian,10,0.6,6
Lowndes Co School District,Multiracial,45,0.555555556,25
Lowndes Co School District,Hispanic,54,0.518518519,28
Lowndes Co School District,African American,1072,0.313432836,336
Lowndes Co School District,White,1672,0.649521531,1086
Lowndes Co School District,All Students,2860,0.519230769,1485
Lowndes Co School District,Native American/Pacific Islander,*,*,*
Madison County School District,Multiracial,130,0.661538462,86
Madison County School District,Hispanic,325,0.467692308,152
Madison County School District,Asian,308,0.717532468,221
Madison County School District,African American,2780,0.444964029,1237
Madison County School District,White,3545,0.762764457,2704
Madison County School District,All Students,7093,0.620893839,4404
Madison County School District,Native American/Pacific Islander,*,*,*
Marion Co School District,Asian,0,0,0
Marion Co School District,Multiracial,11,0.454545455,5
Marion Co School District,Hispanic,12,0.5,6
Marion Co School District,African American,443,0.266365688,118
Marion Co School District,White,636,0.463836478,295
Marion Co School District,All Students,1104,0.384963768,425
Marion Co School District,Native American/Pacific Islander,*,*,*
Marshall Co School District,Native American/Pacific Islander,0,0,0
Marshall Co School District,Multiracial,53,0.358490566,19
Marshall Co School District,Hispanic,207,0.371980676,77
Marshall Co School District,African American,674,0.255192878,172
Marshall Co School District,White,628,0.396496815,249
Marshall Co School District,All Students,1565,0.332268371,520
Marshall Co School District,Asian,*,*,*
McComb School District,Native American/Pacific Islander,0,0,0
McComb School District,Hispanic,21,0.047619048,1
McComb School District,Multiracial,50,0.26,13
McComb School District,White,52,0.403846154,21
McComb School District,African American,1179,0.209499576,247
McComb School District,All Students,1311,0.22044241,289
McComb School District,Asian,*,*,*
Meridian Public School District,Asian,13,0.538461538,7
Meridian Public School District,Hispanic,81,0.395061728,32
Meridian Public School District,White,157,0.52866242,83
Meridian Public School District,African American,2437,0.19737382,481
Meridian Public School District,All Students,2693,0.224656517,605
Meridian Public School District,Multiracial,*,*,*
Meridian Public School District,Native American/Pacific Islander,*,*,*
Midtown Public Charter School,Hispanic,0,0,0
Midtown Public Charter School,Asian,0,0,0
Midtown Public Charter School,Native American/Pacific Islander,0,0,0
Midtown Public Charter School,All Students,234,0.128205128,30
Midtown Public Charter School,African American,227,0.13215859,30
Midtown Public Charter School,White,*,*,*
Midtown Public Charter School,Multiracial,*,*,*
Monroe Co School District,Native American/Pacific Islander,0,0,0
Monroe Co School District,Multiracial,16,0.8125,13
Monroe Co School District,African American,92,0.336956522,31
Monroe Co School District,White,1124,0.519572954,584
Monroe Co School District,All Students,1236,0.509708738,630
Monroe Co School District,Hispanic,*,*,*
Monroe Co School District,Asian,*,*,*
Moss Point Separate School District,Multiracial,20,0.15,3
Moss Point Separate School District,Hispanic,39,0.205128205,8
Moss Point Separate School District,White,176,0.369318182,65
Moss Point Separate School District,African American,707,0.199434229,141
Moss Point Separate School District,All Students,944,0.229872881,217
Moss Point Separate School District,Asian,*,*,*
Moss Point Separate School District,Native American/Pacific Islander,*,*,*
Natchez-Adams School District,Native American/Pacific Islander,0,0,0
Natchez-Adams School District,Hispanic,10,0.5,5
Natchez-Adams School District,Multiracial,13,0.461538462,6
Natchez-Adams School District,White,154,0.415584416,64
Natchez-Adams School District,African American,1509,0.225977469,341
Natchez-Adams School District,All Students,1691,0.248373743,420
Natchez-Adams School District,Asian,*,*,*
Neshoba County School District,Hispanic,17,0.294117647,5
Neshoba County School District,Asian,12,0.583333333,7
Neshoba County School District,Native American/Pacific Islander,200,0.26,52
Neshoba County School District,Multiracial,139,0.460431655,64
Neshoba County School District,African American,295,0.294915254,87
Neshoba County School District,White,1080,0.55,594
Neshoba County School District,All Students,1743,0.464142283,809
Nettleton School District,Asian,0,0,0
Nettleton School District,Native American/Pacific Islander,0,0,0
Nettleton School District,African American,226,0.247787611,56
Nettleton School District,White,450,0.473333333,213
Nettleton School District,All Students,689,0.396226415,273
Nettleton School District,Hispanic,*,*,*
Nettleton School District,Multiracial,*,*,*
New Albany Public Schools,Asian,18,0.666666667,12
New Albany Public Schools,Multiracial,67,0.552238806,37
New Albany Public Schools,Hispanic,151,0.523178808,79
New Albany Public Schools,African American,295,0.338983051,100
New Albany Public Schools,White,606,0.632013201,383
New Albany Public Schools,All Students,1139,0.537313433,612
New Albany Public Schools,Native American/Pacific Islander,*,*,*
Newton County School District,Multiracial,0,0,0
Newton County School District,Native American/Pacific Islander,38,0.263157895,10
Newton County School District,Hispanic,28,0.678571429,19
Newton County School District,African American,224,0.34375,77
Newton County School District,White,663,0.630467572,418
Newton County School District,All Students,957,0.548589342,525
Newton County School District,Asian,*,*,*
Newton Municipal School District,Native American/Pacific Islander,0,0,0
Newton Municipal School District,White,31,0.419354839,13
Newton Municipal School District,African American,449,0.305122494,137
Newton Municipal School District,All Students,489,0.319018405,156
